Time,eng_rpm,dsrd_rpm_baro,baro_press,coolant_temp,
0,0.000,0.000,40.000,-40.000,
 ,8000.000,8000.000,120.000,150.000,
ms,rpm,rpm,kPa,degC,
85349.37592,1000,653,40,10,
85353.38293,1000,653,40,10,
85357.37650,1000,653,40,10,
85361.37661,1000,653,40,10,
85365.43396,1000,653,40,10,
85369.38035,1000,653,40,10,
85373.38540,1000,653,40,10,
85377.37595,1000,653,40,10,
85381.38290,1000,653,40,10,
85385.42440,1000,653,40,10,
85389.37542,1000,653,40,10,
85393.38561,1000,653,40,10,
85397.37646,1000,653,40,10,
85401.37878,1000,653,40,10,
85405.42948,1000,653,40,10,
85409.37933,1000,653,40,10,
85413.38069,1000,653,40,10,
85417.38001,1000,653,40,10,
85421.38551,1000,653,40,10,
85425.42336,1000,653,40,10,
85429.38354,1000,653,40,10,
85433.37642,1000,653,40,10,
85437.37634,1000,653,40,10,
85441.37600,1000,653,40,10,
85445.42766,1000,653,40,10,
85449.38220,1000,653,40,10,
85453.38058,1000,653,40,10,
85457.37992,1000,653,40,10,
85461.37682,1000,653,40,10,
85465.42446,1000,653,40,10,
85469.37533,1000,653,40,10,
85473.37566,1000,653,40,10,
85477.38581,1000,653,40,10,
85481.37962,1000,653,40,10,
85485.42961,1000,653,40,10,
85489.38172,1000,653,40,10,
85493.37964,1000,653,40,10,
85497.37552,1000,653,40,10,
85501.37653,1000,653,40,10,
85505.42466,1000,653,40,10,
85509.37765,1000,653,40,10,
85513.37554,1000,653,40,10,
85517.37669,1000,653,40,10,
85521.38133,1000,653,40,10,
85525.42323,1000,653,40,10,
85529.37547,1000,653,40,10,
85533.37885,1000,653,40,10,
85537.37599,1000,653,40,10,
85541.37770,1000,653,40,10,
85545.42420,1000,653,40,10,
85549.38139,1000,653,40,10,
85553.37520,1000,653,40,10,
85557.37570,1000,653,40,10,
85561.37557,1000,653,40,10,
85565.42743,1000,653,40,10,
85569.38092,1000,653,40,10,
85573.37697,1000,653,40,10,
85577.38450,1000,653,40,10,
85581.38141,1000,653,40,10,
85585.42502,1000,653,40,10,
85589.38578,1000,653,40,10,
85593.38532,1000,653,40,10,
85597.37638,1000,653,40,10,
85601.37725,1000,653,40,10,
85605.42272,1000,653,40,10,
85609.38383,1000,653,40,10,
85613.37551,1000,653,40,10,
85617.37967,1000,653,40,10,
85621.37575,1000,653,40,10,
85625.42675,1000,653,40,10,
85629.37933,1000,653,40,10,
85633.38197,1000,653,40,10,
85637.38214,1000,653,40,10,
85641.37540,1000,653,40,10,
85645.43029,1000,653,40,10,
85649.37595,1000,653,40,10,
85653.37699,1000,653,40,10,
85657.37684,1000,653,40,10,
85661.38079,1000,653,40,10,
85665.42334,1000,653,40,10,
85669.38042,1000,653,40,10,
85673.38381,1000,653,40,10,
85677.37598,1000,653,40,10,
85681.37594,1000,653,40,10,
85685.43182,1000,653,40,10,
85689.38205,1000,653,40,10,
85693.37543,1000,653,40,10,
85697.37539,1000,653,40,10,
85701.38605,1000,653,40,10,
85705.42291,1000,653,40,10,
85709.38374,1000,653,40,10,
85713.38131,1000,653,40,10,
85717.38522,1000,653,40,10,
85721.37688,1000,653,40,10,
85725.42621,1000,653,40,10,
85729.37832,1000,653,40,10,
85733.38329,1000,653,40,10,
85737.37727,1000,653,40,10,
85741.37825,1000,653,40,10,
85745.43115,1000,653,40,10,
85749.37546,1000,653,40,10,
85753.37758,1000,653,40,10,
85757.38051,1000,653,40,10,
85761.37619,1000,653,40,10,
85765.43035,1000,653,40,10,
85769.37927,1000,653,40,10,
85773.38069,1000,653,40,10,
85777.38545,1000,653,40,10,
85781.37663,1000,653,40,10,
85785.42408,1000,653,40,10,
85789.38033,1000,653,40,10,
85793.38714,1000,653,40,10,
85797.38691,1000,653,40,10,
85801.38485,1000,653,40,10,
85805.42474,1000,653,40,10,
85809.38357,1000,653,40,10,
85813.38280,1000,653,40,10,
85817.37588,1000,653,40,10,
85821.38539,1000,653,40,10,
85825.42476,1000,653,40,10,
85829.38489,1000,653,40,10,
85833.37993,1000,653,40,10,
85837.37627,1000,653,40,10,
85841.37931,1000,653,40,10,
85845.43318,1000,653,40,10,
85849.37580,1000,653,40,10,
85853.37663,1000,653,40,10,
85857.37562,1000,653,40,10,
85861.37649,1000,653,40,10,
85865.42305,1000,653,40,10,
85869.37909,1000,653,40,10,
85873.37665,1000,653,40,10,
85877.38118,1000,653,40,10,
85881.38579,1000,653,40,10,
85885.42797,1000,653,40,10,
85889.38240,1000,653,40,10,
85893.37670,1000,653,40,10,
85897.38018,1000,653,40,10,
85901.37939,1000,653,40,10,
85905.42775,1000,653,40,10,
85909.38239,1000,653,40,10,
85913.37870,1000,653,40,10,
85917.37690,1000,653,40,10,
85921.37565,1000,653,40,10,
85925.43064,1000,653,40,10,
85929.38360,1000,653,40,10,
85933.37758,1000,653,40,10,
85937.37912,1000,653,40,10,
85941.37761,1000,653,40,10,
85945.42830,1000,653,40,10,
85949.37848,1000,653,40,10,
85953.37828,1000,653,40,10,
85957.37640,1000,653,40,10,
85961.37895,1000,653,40,10,
85965.42557,1000,653,40,10,
85969.38202,1000,653,40,10,
85973.37997,1000,653,40,10,
85977.37657,1000,653,40,10,
85981.37802,1000,653,40,10,
85985.42425,1000,653,40,10,
85989.37946,1000,653,40,10,
85993.38506,1000,653,40,10,
85997.37963,1000,653,40,10,
86001.37948,1000,653,40,10,
86005.43174,1000,653,40,10,
86009.37585,1000,653,40,10,
86013.37593,1000,653,40,10,
86017.37748,1000,653,40,10,
86021.37731,1000,653,40,10,
86025.42776,1000,653,40,10,
86029.38397,1000,653,40,10,
86033.38177,1000,653,40,10,
86037.37827,1000,653,40,10,
86041.37871,1000,653,40,10,
86045.42816,1000,653,40,10,
86049.37577,1000,653,40,10,
86053.38348,1000,653,40,10,
86057.37597,1000,653,40,10,
86061.37819,1000,653,40,10,
86065.42466,1000,653,40,10,
86069.37556,1000,653,40,10,
86073.38236,1000,653,40,10,
86077.37722,1000,653,40,10,
86081.37926,1000,653,40,10,
86085.42287,1000,653,40,10,
86089.38534,1000,653,40,10,
86093.38237,1000,653,40,10,
86097.37598,1000,653,40,10,
86101.37936,1000,653,40,10,
86105.42241,1000,653,40,10,
86109.37717,1000,653,40,10,
86113.37748,1000,653,40,10,
86117.38305,1000,653,40,10,
86121.38596,1000,653,40,10,
86125.42555,1000,653,40,10,
86129.37812,1000,653,40,10,
86133.37782,1000,653,40,10,
86137.38585,1000,653,40,10,
86141.38090,1000,653,40,10,
86145.43191,1000,653,40,10,
86149.37553,1000,653,40,10,
86153.37857,1000,653,40,10,
86157.38000,1000,653,40,10,
86161.38082,1000,653,40,10,
86165.43038,1000,653,40,10,
86169.38263,1000,653,40,10,
86173.37645,1000,653,40,10,
86177.38448,1000,653,40,10,
86181.37966,1000,653,40,10,
86185.42796,1000,653,40,10,
86189.38437,1000,653,40,10,
86193.38294,1000,653,40,10,
86197.38009,1000,653,40,10,
86201.38623,1000,653,40,10,
86205.42642,1000,653,40,10,
86209.37802,1000,653,40,10,
86213.37991,1000,653,40,10,
86217.37626,1000,653,40,10,
86221.37860,1000,653,40,10,
86225.42418,1000,653,40,10,
86229.38331,1000,653,40,10,
86233.37990,1000,653,40,10,
86237.38586,1000,653,40,10,
86241.37626,1000,653,40,10,
86245.42335,1000,653,40,10,
86249.37856,1000,653,40,10,
86253.37577,1000,653,40,10,
